序号,时间(s),电压,阻抗
1666,209.897,-0.08032847921026517,7149.759766
1667,210.023,-0.0964319894373838,7136.162598
1668,210.149,-0.09230984704007698,7138.766602
1669,210.275,-0.0798051759507049,7150.700195
1670,210.401,-0.07042467448685472,7157.250488
1671,210.527,-0.07395490908976185,7142.191895
1672,210.653,-0.0704064195285715,7162.995605
1673,210.779,-0.06442022260270819,7125.84082
1674,210.905,-0.04457473614765485,7160.50293
1675,211.031,-0.020441498801423014,7146.802734
1676,211.156,0.012349255844623918,7132.775391
1677,211.282,0.030973251668035225,7055.354004
1678,211.409,0.021208255490647226,7038.42627
1679,211.535,-0.01688706116292681,7042.42041
1680,211.661,-0.06256926676170649,7043.90918
1681,211.786,-0.12661807111056086,7045.223633
1682,211.913,-0.1749105892931724,7040.989258
1683,212.039,-0.19786267371125651,7036.560059
1684,212.164,-0.1953461398032607,7041.992188
1685,212.291,-0.1922310007855305,7041.29248
1686,212.417,-0.18020885261939115,7047.245117
1687,212.542,-0.17868781531370867,7046.650879
1688,212.669,-0.18597072784108867,7040.349121
1689,212.795,-0.20925390641950992,7044.358887
1690,212.921,-0.22212989947257641,7042.976074
1691,213.047,-0.22351401408981988,7044.837891
1692,213.173,-0.23218207953287462,7049.685547
1693,213.299,-0.2466026786150737,7042.147461
1694,213.425,-0.2523878654697727,7044.043945
1695,213.55,-0.2806955967749849,7042.976074
1696,213.677,-0.309911640427126,7043.195801
1697,213.803,-0.3383522990948577,7044.164063
1698,213.929,-0.3543270418485566,7046.404785
1699,214.055,-0.3422772899176526,7042.165039
1700,214.18,-0.3011155743222359,7042.793457
1701,214.307,-0.23041888743991765,7044.885254
1702,214.433,-0.15697053414759193,7040.012207
1703,214.559,-0.09690385228381909,7044.693848
1704,214.685,-0.07061250403003125,7042.27002
1705,214.81,-0.07686923333352348,7039.739746
1706,214.937,-0.12418737962645282,7036.350586
1707,215.063,-0.18082921210397665,7034.241211
1708,215.189,-0.2468543312517876,7038.155273
1709,215.315,-0.29827996783737154,7038.475098
1710,215.44,-0.34639595785925836,7036.749512
1711,215.566,-0.3649218457063324,7033.026367
1712,215.693,-0.3544943447031736,7035.208008
1713,215.819,-0.31575221496390565,7037.504883
1714,215.944,-0.2745386634353175,7036.677246
1715,216.07,-0.2232651037752377,7036.436523
1716,216.196,-0.16923241923536753,7033.93457
1717,216.323,-0.13545125158084395,7036.994141
1718,216.449,-0.14894943703100932,7038.49707
1719,216.575,-0.18354707635791365,7035.177734
1720,216.7,-0.21808605131315084,7039.824707
1721,216.826,-0.27638804004709205,7031.803223
1722,216.952,-0.2999710866983825,7038.683105
1723,217.079,-0.2913006871817111,7037.299316
1724,217.204,-0.26082867619904715,7039.820313
1725,217.33,-0.2173789771440713,7035.169434
1726,217.456,-0.1741984879130943,7041.078613
1727,217.583,-0.16252855523840876,7037.453613
1728,217.708,-0.15907040837098343,7037.378418
1729,217.835,-0.152402833103198,7040.298828
1730,217.96,-0.13622661185814414,7042.86084
1731,218.087,-0.10629029416143622,7033.526855
1732,218.213,-0.07035952356495553,7036.550293
1733,218.338,-0.03246022720178236,7037.078125
1734,218.464,-0.019181388136785105,7039.565918
1735,218.59,-0.008537264178354804,7040.199707
1736,218.718,-0.028509429032129052,7034.637207
1737,218.843,-0.0536937916417166,7036.779297
1738,218.968,-0.09237469528229211,7039.346191
1739,219.094,-0.12821132133406754,7036.021484
1740,219.22,-0.16093879449825732,7043.466309
